"state_dist","state_id","district","state","name","party","incumbent","first_name","last_name","unique_cand_id"
"CA43","CA",43,"California","Maxine Waters","D",TRUE,"Maxine","Waters","CA43_D_Waters"
"CA43","CA",43,"California","Bob Flores","D",FALSE,"Bob","Flores","CA43_D_Flores"
"CA44","CA",44,"California","Janice Hahn","D",TRUE,"Janice","Hahn","CA44_D_Hahn"
"CA44","CA",44,"California","Laura Richardson","D",TRUE,"Laura","Richardson","CA44_D_Richardson"
"CA45","CA",45,"California","Sukhee Kang","D",FALSE,"Sukhee","Kang","CA45_D_Kang"
"CA45","CA",45,"California","John Campbell","R",TRUE,"John","Campbell","CA45_R_Campbell"
"CA46","CA",46,"California","Loretta Sanchez","D",TRUE,"Loretta","Sanchez","CA46_D_Sanchez"
"CA46","CA",46,"California","Jerry Hayden","R",FALSE,"Jerry","Hayden","CA46_R_Hayden"
"CA47","CA",47,"California","Alan Lowenthal","D",FALSE,"Alan","Lowenthal","CA47_D_Lowenthal"
"CA47","CA",47,"California","Gary Delong","R",FALSE,"Gary","Delong","CA47_R_Delong"
"CA48","CA",48,"California","Ron Varasteh","D",FALSE,"Ron","Varasteh","CA48_D_Varasteh"
"CA48","CA",48,"California","Dana Rohrabacher","R",TRUE,"Dana","Rohrabacher","CA48_R_Rohrabacher"
"CA49","CA",49,"California","Jerry Tetalman","D",FALSE,"Jerry","Tetalman","CA49_D_Tetalman"
"CA49","CA",49,"California","Darrell Issa","R",TRUE,"Darrell","Issa","CA49_R_Issa"
"CA50","CA",50,"California","David Secor","D",FALSE,"David","Secor","CA50_D_Secor"
"CA50","CA",50,"California","Duncan D. Hunter","R",TRUE,"Duncan","Hunter","CA50_R_Hunter"
"CA51","CA",51,"California","Juan Vargas","D",FALSE,"Juan","Vargas","CA51_D_Vargas"
"CA51","CA",51,"California","Michael Crimmins","R",FALSE,"Michael","Crimmins","CA51_R_Crimmins"
"CA52","CA",52,"California","Scott Peters","D",FALSE,"Scott","Peters","CA52_D_Peters"
"CA52","CA",52,"California","Brian Bilbray","R",TRUE,"Brian","Bilbray","CA52_R_Bilbray"
"CA53","CA",53,"California","Susan Davis","D",TRUE,"Susan","Davis","CA53_D_Davis"
"CA53","CA",53,"California","Nick Popaditch","R",FALSE,"Nick","Popaditch","CA53_R_Popaditch"
"CO01","CO",1,"Colorado","Diana DeGette","D",TRUE,"Diana","DeGette","CO01_D_DeGette"
